Date,Open,High,Low,Close,Volume
2025-02-03,277.8500061035156,277.8500061035156,263.29998779296875,274.1499938964844,41786023
2025-02-04,276.0,286.0,275.8999938964844,284.5,29035155
2025-02-05,285.6499938964844,291.79998779296875,285.0,288.95001220703125,18818511
2025-02-06,288.95001220703125,289.95001220703125,279.0,279.75,16834939
2025-02-07,280.75,282.29998779296875,273.1000061035156,277.04998779296875,26682639
2025-02-10,278.8999938964844,282.20001220703125,272.0,273.45001220703125,21789085
2025-02-11,273.79998779296875,274.0,262.75,265.04998779296875,23839025
2025-02-12,264.95001220703125,265.75,254.0,259.1499938964844,27997028
2025-02-13,259.1499938964844,265.5,258.6000061035156,261.54998779296875,18016813
2025-02-14,262.20001220703125,264.5,248.1999969482422,250.35000610351562,25683310
2025-02-17,248.9499969482422,250.0,242.60000610351562,248.5,24947159
2025-02-18,249.0,249.75,240.5500030517578,244.60000610351562,21180375
2025-02-19,240.6999969482422,254.0,240.25,253.39999389648438,21516255
2025-02-20,252.0,260.95001220703125,250.25,260.25,18922988
2025-02-21,259.5,262.5,254.39999389648438,256.1000061035156,16594628
2025-02-24,251.0,258.45001220703125,250.5,256.3500061035156,15409569
2025-02-25,256.3500061035156,258.54998779296875,255.35000610351562,256.6499938964844,14770656
2025-02-27,257.1000061035156,258.3999938964844,251.89999389648438,252.4499969482422,11087361
2025-02-28,250.0,250.9499969482422,243.5,246.25,17754591
2025-03-03,247.5,258.8999938964844,244.36000061035156,257.3900146484375,24644079
2025-03-04,253.88999938964844,266.5,252.5,264.7099914550781,24998454
2025-03-05,265.0,275.79998779296875,263.3299865722656,274.9200134277344,28499877
2025-03-06,276.2099914550781,281.0,271.8299865722656,272.95001220703125,22586087
2025-03-07,275.79998779296875,279.7300109863281,274.0,276.989990234375,25542382
2025-03-10,278.6000061035156,283.4700012207031,271.54998779296875,272.3299865722656,20986855
2025-03-11,271.95001220703125,278.5,269.04998779296875,277.17999267578125,20980143
2025-03-12,278.7799987792969,280.3999938964844,274.1199951171875,276.8299865722656,15308721
2025-03-13,283.0,285.79998779296875,279.4200134277344,280.07000732421875,38015489
2025-03-17,281.0,283.3800048828125,276.7200012207031,279.92999267578125,13883681
2025-03-18,279.92999267578125,279.92999267578125,279.92999267578125,279.92999267578125,0
2025-03-19,286.0,292.989990234375,284.760009765625,290.0,21095205
2025-03-20,294.80999755859375,297.7799987792969,291.1000061035156,297.04998779296875,27889890
2025-03-21,301.0,301.0,292.75,295.739990234375,41751586
2025-03-24,296.8999938964844,304.8999938964844,296.3500061035156,302.1000061035156,29935092
2025-03-25,304.0,304.5,298.6499938964844,300.0299987792969,19364944
2025-03-26,301.07000732421875,305.5,298.489990234375,299.5400085449219,23869923
2025-03-27,297.0,302.0,296.6300048828125,300.6499938964844,14453677
2025-03-28,304.0,306.5799865722656,299.07000732421875,301.32000732421875,20850848
2025-04-01,302.0,305.79998779296875,290.0,292.0,33171384
2025-04-02,289.8999938964844,290.75,274.45001220703125,282.3999938964844,52653587
2025-04-03,283.0,288.25,282.6000061035156,287.5,20968721
2025-04-04,287.1000061035156,288.0,278.29998779296875,280.0,19699594
2025-04-07,257.0,274.5,256.20001220703125,272.1000061035156,24954083
2025-04-08,282.45001220703125,288.0,276.6000061035156,281.45001220703125,26787606
2025-04-09,281.0,282.79998779296875,276.6000061035156,280.1499938964844,11389916
2025-04-11,283.0,287.0,282.6499938964844,285.0,13883110
2025-04-15,289.8999938964844,294.1499938964844,287.54998779296875,293.70001220703125,19512440
2025-04-16,293.5,295.3500061035156,291.29998779296875,293.6000061035156,12479078
2025-04-17,293.0,296.6000061035156,291.1499938964844,295.1499938964844,13609937
2025-04-21,297.5,301.6000061035156,295.1499938964844,299.95001220703125,14064356
2025-04-22,301.0,304.75,299.75,303.3500061035156,11962358
2025-04-23,305.6000061035156,310.29998779296875,301.79998779296875,305.8500061035156,21918666
2025-04-24,305.0,308.6000061035156,303.45001220703125,305.70001220703125,17241517
2025-04-25,306.79998779296875,307.79998779296875,293.70001220703125,297.6000061035156,20307004
2025-04-28,296.0,307.8500061035156,295.8500061035156,305.04998779296875,29913417
2025-04-29,306.54998779296875,319.45001220703125,305.79998779296875,317.1000061035156,57882724
2025-04-30,319.0,320.45001220703125,312.6000061035156,314.1000061035156,24863436
2025-05-02,310.79998779296875,317.75,310.6000061035156,311.1499938964844,15451259
2025-05-05,313.95001220703125,316.8999938964844,313.20001220703125,315.29998779296875,10955241
2025-05-06,315.6499938964844,319.29998779296875,309.20001220703125,310.5,17029890
2025-05-07,305.0,315.20001220703125,305.0,309.95001220703125,19274367
2025-05-08,310.5,313.70001220703125,304.79998779296875,307.1499938964844,17110997
2025-05-09,305.0,321.79998779296875,305.0,315.8500061035156,44244945
2025-05-12,325.0,325.0,316.20001220703125,322.79998779296875,39927141
2025-05-13,323.70001220703125,337.75,322.79998779296875,335.75,57985762
2025-05-14,339.0,346.0,334.5,344.3500061035156,43684324
2025-05-15,346.5,351.0,340.79998779296875,350.3999938964844,35959338
