Date,Open,High,Low,Close,Volume
2026-06-19,2105.0,2138.0,2059.89990234375,2125.0,13286502
2026-06-22,2132.199951171875,2157.0,2121.0,2127.800048828125,4566101
2026-06-23,2111.0,2114.0,2055.0,2059.60009765625,6392736
2026-06-24,2061.0,2120.699951171875,2061.0,2109.0,4747277
2026-06-25,2133.60009765625,2148.5,2088.0,2094.699951171875,4738903
2026-06-26,2094.699951171875,2094.699951171875,2094.699951171875,2094.699951171875,0
2026-06-29,2090.0,2105.0,2071.0,2097.89990234375,3412470
2026-06-30,2090.0,2104.300048828125,2018.800048828125,2031.5,6848411
2026-07-01,2039.9000244140625,2052.0,1976.800048828125,1982.5999755859375,4658295
2026-07-02,2008.0,2076.89990234375,2002.5,2068.10009765625,6040621
2026-07-03,2100.0,2116.60009765625,2085.0,2093.5,4028819
2026-07-06,2090.0,2093.0,2050.60009765625,2057.60009765625,2567386
2026-07-07,2050.0,2122.699951171875,2049.0,2096.10009765625,4769048
2026-07-08,2094.0,2109.699951171875,2048.800048828125,2057.5,3666985
2026-07-09,2057.5,2065.0,2016.0,2049.5,3791498
2026-07-10,2105.199951171875,2133.300048828125,2064.60009765625,2069.0,6714551
2026-07-13,2075.0,2204.89990234375,2065.10009765625,2181.5,12382622
2026-07-14,2182.89990234375,2228.0,2179.0,2200.60009765625,9546290
2026-07-15,2174.10009765625,2202.89990234375,2145.39990234375,2189.199951171875,5426489
2026-07-16,2206.0,2231.39990234375,2187.800048828125,2201.0,5197595
2026-07-17,2224.800048828125,2275.0,2215.10009765625,2269.0,5615138
